component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
130,9,14,True,4,4,5,3,1.1176470588235294,34,exact_parallel,0.0158
131,9,10,True,2,2,3,2,0.6666666666666666,21,exact_parallel,0.045
132,9,13,True,3,3,4,2,0.7083333333333334,24,exact_parallel,0.0165
133,9,10,True,2,2,3,2,0.6666666666666666,21,exact_parallel,0.0139
134,9,12,True,4,4,5,3,1.096774193548387,31,exact_parallel,0.0155
135,9,11,True,4,4,5,3,1.037037037037037,27,exact_parallel,0.0157
136,9,9,True,3,3,4,2,0.7727272727272727,22,exact_parallel,0.0141
137,9,18,True,5,5,6,2,0.7586206896551724,29,exact_parallel,0.0177
138,9,17,True,3,3,4,2,0.75,28,exact_parallel,0.0153
139,9,27,True,6,6,7,2,0.7837837837837838,37,exact_parallel,0.0138
140,9,11,True,2,2,3,2,0.6190476190476191,21,exact_parallel,0.0142
141,9,9,True,2,2,3,2,0.5789473684210527,19,exact_parallel,0.0121
142,9,9,True,5,5,6,4,1.2592592592592593,27,exact_parallel,0.0133
143,9,13,True,4,4,5,2,0.9310344827586207,29,exact_parallel,0.0165
144,9,17,True,4,4,5,2,0.90625,32,exact_parallel,0.0144
145,8,9,True,1,1,2,1,0.5294117647058824,17,exact_parallel,0.0126
146,8,10,True,3,3,4,2,0.7,20,exact_parallel,0.0132
147,8,10,True,2,2,3,2,0.96,25,exact_parallel,0.0145
148,8,15,True,4,4,5,2,0.8076923076923077,26,exact_parallel,0.0125
149,8,8,True,3,3,4,3,1.0434782608695652,23,exact_parallel,0.0147
150,8,7,True,2,2,3,2,0.5625,16,exact_parallel,0.0128
151,8,15,True,4,4,5,2,0.8928571428571429,28,exact_parallel,0.011
152,8,8,True,2,2,3,2,0.5882352941176471,17,exact_parallel,0.0134
153,8,10,True,4,4,5,2,0.8695652173913043,23,exact_parallel,0.0164
154,8,8,True,4,4,5,3,0.9545454545454546,22,exact_parallel,0.0231
155,8,18,True,5,5,6,2,0.9375,32,exact_parallel,0.0271
