component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
333,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0117
334,5,5,True,2,2,3,2,0.75,12,exact_parallel,0.0122
335,5,5,True,3,3,4,2,0.8461538461538461,13,exact_parallel,0.0116
336,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0115
337,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0119
338,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0116
339,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0115
340,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0115
341,5,6,True,4,4,5,2,0.9333333333333333,15,exact_parallel,0.0115
342,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0114
343,5,7,True,2,2,3,1,0.5833333333333334,12,exact_parallel,0.0115
344,5,5,True,1,1,2,1,0.5,10,exact_parallel,0.0117
345,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0115
346,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0114
347,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0115
348,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0115
349,5,4,True,2,2,3,2,0.7272727272727273,11,exact_parallel,0.0115
350,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0116
351,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0113
352,5,5,True,3,3,4,3,0.9230769230769231,13,exact_parallel,0.0113
353,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0114
354,5,7,True,4,4,5,2,0.8666666666666667,15,exact_parallel,0.0126
355,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0123
356,5,4,True,3,3,4,3,1.0,13,exact_parallel,0.0113
357,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.011
358,4,6,False,,1,3,1,0.6,10,exact_parallel,0.0112
359,4,6,True,3,3,4,1,0.6,10,exact_parallel,0.0113
360,4,3,True,2,2,3,2,0.7777777777777778,9,exact_parallel,0.0111
361,4,5,True,2,2,3,1,0.5555555555555556,9,exact_parallel,0.0112
362,4,4,True,2,2,3,1,0.5,8,exact_parallel,0.0111
363,4,4,True,2,2,3,1,0.5,8,exact_parallel,0.0112
