u,v,shared_hyperedges,score_debias,jaccard,topic,near_dup,l4_category,temporal,year_u,year_v,year_gap
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::3638dcfce0a0289e4276d333ad3bc89f,126,4.118438837901865,0.1597560975609756,Other,False,0103 physical sciences,Parent–Parent (<2020),2017,2019,2
doi_dedup___::480dd4d892cceed978db5f58934146d3,doi_dedup___::a3eceeff14bfaea98e1a9b6656a9ed92,163,4.016435572186512,0.11058981233243968,Vascular,False,0302 clinical medicine,Parent–Parent (<2020),2016,2012,4
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::da5379a2ade787477315a548d4961fc6,277,3.945884959914964,0.08763693270735524,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2014,2011,3
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,346,3.9443167757940367,0.06644144144144144,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2019,2016,3
doi_dedup___::b768979d84d319519183b38c17160759,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,340,3.8862853736889456,0.07103490508266994,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2017,2017,0
doi_dedup___::4dc13b4e74c2a38b54c05bdb7c57dd9f,doi_dedup___::9867192e9a8f2a92c3b15b74ca8ffdae,235,3.852976785230724,0.15997277059223963,Thyroid / Endocrine,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2012,2015,3
doi_dedup___::72be43eb29852ff618fd6258203b685a,doi_dedup___::781388f411114f6774c35ffd5f84c499,154,3.85,0.0844994617868676,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2012,2010,2
doi_dedup___::5d71d5c2dfeee7f792c753aae68a8476,doi_dedup___::d759186e113e5cd7be63b1ee809a0b6f,128,3.8419214412010505,0.1132238547968885,Other,False,0103 physical sciences,Parent–Parent (<2020),2013,2006,7
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,418,3.767141890703263,0.07419750920891072,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2016,2020,4
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,310,3.7115768552319617,0.08959044368600683,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2010,2019,9
doi_dedup___::9a9ec69f41d6eba2b6096a49ee3a60aa,doi_dedup___::d1bcbbbc2826cca209935f1100140d54,237,3.694117141852157,0.17487141807494488,Other,False,0103 physical sciences,Parent–Parent (<2020),2015,2015,0
doi_dedup___::708f94039c5be7c9f8ca90816dd83674,doi_dedup___::9867192e9a8f2a92c3b15b74ca8ffdae,214,3.6918507424815954,0.16298552932216298,Thyroid / Endocrine,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2013,2015,2
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::8516fc2186791c84600725638830d010,124,3.6251731464690535,0.15040183696900114,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2017,2021,4
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::d3847807476b58e0aca056d5b007cad5,347,3.611058629098309,0.06164383561643835,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2016,2015,1
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::89ee331b6872a19da85a05d35033f877,214,3.589169518709944,0.11225012813941568,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2019,2020,1
doi_dedup___::8695819d8e23b963b92fa904ef9ff9e4,doi_dedup___::99a45f3d1092f0c6f92a577aabbbc76e,158,3.589055718351612,0.1427304964539007,Other,False,0104 chemical sciences,Parent–Parent (<2020),1997,1997,0
doi_dedup___::285d1b18a1a1b2dcb5f954a2644c1716,doi_dedup___::4c71d23131ed2ef18f16ef4612457b0c,172,3.57867662787886,0.09977194982896237,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2019,2020,1
doi_dedup___::58d8c7b4bcf5af98d3b395a56d274ecf,doi_dedup___::8979511f1dc4e88ed18c8e59a3f162cb,129,3.498003632325831,0.11476868327402136,Rheumatology,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2019,2019,0
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,306,3.488326397089524,0.05885692657077971,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2023,2016,7
doi_dedup___::4839e093f99291ec2e65dd8b6cdac6c2,doi_dedup___::c469b0f43b29638e14f990d6ad3afa05,231,3.42985260454278,0.15975526852481306,Other,False,0103 physical sciences,Parent–Parent (<2020),2016,2016,0
doi_dedup___::5492fff5d52dff1e13928ca9b99a02d2,doi_dedup___::a953d7ea952cd6bdb405103685d1d774,146,3.374426193703477,0.17592592592592593,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2024,2023,1
doi_dedup___::4c71d23131ed2ef18f16ef4612457b0c,doi_dedup___::d3847807476b58e0aca056d5b007cad5,135,3.3541019662496843,0.0898360655737705,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2020,2015,5
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::da5379a2ade787477315a548d4961fc6,232,3.3528252154932643,0.044038066803508115,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2016,2011,5
doi_dedup___::4839e093f99291ec2e65dd8b6cdac6c2,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,290,3.273546397146549,0.09690177982860909,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2016,2019,3
doi_dedup___::2c8f14de3769a742c54163bd14388a11,doi_dedup___::388fee7d8163f53d7bf3c7fe49971c15,149,3.2514465645162867,0.5197368421052632,HEP / Particle Physics,True,0103 physical sciences,Recent–Recent (≥2020),2022,2022,0
doi_dedup___::3431a422a63e899b737c3f563eca884e,doi_dedup___::39359f92239efdbe3aa2ca9160837685,147,3.245104274809357,0.1799265605875153,Thyroid / Endocrine,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2016,2017,1
doi_dedup___::539f569c72f3e82d5f50f4282262c145,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,323,3.22548747409635,0.08524336852948751,GW / Astrophysics,False,Missing L4 tag (title-confirmed same topic),Parent–Parent (<2020),2017,2019,2
doi_dedup___::14df34ec2cb80103546eb508961e9d77,doi_dedup___::3ce5a4c27576240927a68b63468cc062,229,3.1191847562462947,0.12173913043478261,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2021,2021,0
doi_dedup___::7af18bcab853e914d0a8034e0ef264cc,doi_dedup___::9e9f40153136868a7fd295698661a5d3,133,3.09637431124513,0.2301038062283737,Other,False,0103 physical sciences,Parent–Parent (<2020),2016,2008,8
doi_dedup___::14df34ec2cb80103546eb508961e9d77,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,299,3.083129654033901,0.05980907851159166,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2021,2016,5
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::a9cbaa2ce6eed933adcf95d0175f217d,149,3.072328218187652,0.11868300153139356,GW / Astrophysics,False,0103 physical sciences,Recent–Recent (≥2020),2021,2020,1
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,280,3.05887645160749,0.05325884543761639,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2021,2016,5
