graph,min_size,threshold,n_communities,coverage,overlap_rate,n_overlapping,avg_memberships,avg_comm_size,median_comm_size,modularity_overlap,conductance,micro_frac,elapsed_s
G_BC,6,0.45,1119,0.6679339617728244,0.10175438596491228,3915,2.1088122605363986,38.2627345844504,14.0,0.21288617287102518,0.3100975703045023,0.0,872.4
G_CitOnly,7,0.45,971,0.5261084280474962,0.08589571039099976,2489,2.1137002812374446,32.69721936148301,15.0,0.15541916716802956,0.3371497259569037,0.0,12.8
G_BC,7,0.45,1004,0.6392722601253407,0.09311861829241799,3429,2.1064450277048703,40.45617529880478,16.0,0.19377676491454332,0.31571739201362864,0.0,870.4
G_CitOnly,4,0.5,2118,0.6445404698790805,0.12971830985915492,4605,2.172204125950054,19.30972615675165,7.0,0.14907105228577464,0.42412681008896397,0.23984891406987724,13.5
G_BC,4,0.5,2087,0.7364894189538739,0.14824156138035074,6289,2.185880108125298,23.901293723047438,8.0,0.19055858725994357,0.40007021680971555,0.18878773358888357,873.0
G_CitOnly,5,0.5,1558,0.6008932786230436,0.11511965192168237,3810,2.168241469816273,24.099486521181003,10.0,0.1627720690148982,0.37929691664037246,0.0,12.3
G_BC,5,0.5,1577,0.7018905265350763,0.13734510647770276,5553,2.158472897532865,29.71718452758402,11.0,0.2041634340104937,0.3540723505253214,0.0,870.5
G_CitOnly,6,0.5,1303,0.5609862376992628,0.11149588970159881,3445,2.1503628447024674,26.7544128933231,11.0,0.14029232670102823,0.38467114785100337,0.0,12.2
G_BC,6,0.5,1377,0.667690918875753,0.13075583058162815,5029,2.1570888844700735,32.15686274509804,13.0,0.17526615865234607,0.36578720560105626,0.0,872.2
G_CitOnly,7,0.5,1087,0.5267983586913105,0.10863346544890574,3152,2.1551395939086295,30.04231830726771,14.0,0.13734483333141204,0.3720098684653805,0.0,11.5
G_BC,7,0.5,1129,0.6379702446053157,0.11943182127404828,4389,2.1401230348598768,36.9822852081488,16.0,0.18135966135497306,0.3397947005614625,0.0,866.0
G_CitOnly,4,0.55,2147,0.6439776317222847,0.13572415348614283,4814,2.1969256335687577,19.204005589194225,8.0,0.14850792107447625,0.4242673281953444,0.2328830926874709,13.3
G_BC,4,0.55,2117,0.7354998871586549,0.16864540798262798,7145,2.186843946815955,24.018422295701463,8.0,0.18908540331971654,0.40131587187870565,0.1865847897968824,870.7
G_CitOnly,5,0.55,1597,0.6014016485711173,0.12317352976693637,4080,2.180637254901961,23.75767063243582,10.0,0.15806285833159275,0.3848727284474858,0.0,12.0
G_BC,5,0.55,1628,0.7024113327430863,0.15400014829094683,6231,2.165944471192425,29.315724815724817,11.0,0.2013199737251153,0.3569458753365874,0.0,874.5
G_CitOnly,6,0.55,1346,0.5622026943607248,0.12346197319554336,3823,2.160606853256605,26.301634472511143,11.0,0.13899657956043257,0.38683834484823704,0.0,11.6
G_BC,6,0.55,1442,0.6694269395691197,0.14859573143850005,5730,2.1710296684118675,31.394590846047155,12.0,0.16809949586300887,0.3744846012924577,0.0,871.6
G_CitOnly,7,0.55,1069,0.5252914049166636,0.10714779482925481,3100,2.1512903225806452,30.403180542563142,15.0,0.14387294474000842,0.3595956945134145,0.0,10.8
G_BC,7,0.55,1175,0.638786174331198,0.13911838243287314,5119,2.151201406524712,36.33106382978723,16.0,0.17734909372822255,0.34472653141091136,0.0,867.8
G_CitOnly,4,0.6,2723,0.644050256000581,0.19099033067403376,6775,2.3042066420664207,16.272126331252295,7.0,0.10623396735920002,0.4903329928206413,0.21116415717958134,12.2
G_BC,4,0.6,2564,0.7358297310903946,0.2033926296418629,8621,2.264586474886904,20.78315132605304,8.0,0.1528127061268902,0.45404617681188114,0.1688767550702028,870.7
G_CitOnly,5,0.6,2246,0.6015650531972838,0.18727552591072344,6205,2.328283642224013,18.421638468388245,8.0,0.08812834369035981,0.49137205530648426,0.0,11.4
G_BC,5,0.6,2248,0.7023418919153517,0.2049089156388264,8290,2.2837153196622437,22.730871886120998,9.0,0.1272194939168347,0.4597326938548574,0.0,868.2
G_CitOnly,6,0.6,1622,0.5614038272994663,0.1622198505869797,5016,2.2679425837320575,22.9845869297164,10.0,0.1103919598596012,0.44134781715986565,0.0,10.8
G_BC,6,0.6,1635,0.6682985261184313,0.1738881961762261,6694,2.238273080370481,28.61467889908257,12.0,0.15079823834830297,0.407248283539426,0.0,869.2
G_CitOnly,7,0.6,1352,0.5266167979955699,0.15728322702982245,4562,2.2492327926348095,25.668639053254438,12.0,0.10415467192038712,0.4315934671172167,0.0,10.0
G_BC,7,0.6,1427,0.6392722601253407,0.16893873560721268,6221,2.2231152547821895,31.137351086194816,13.0,0.1391987116098359,0.4048079446032956,0.0,866.2
G_CitOnly,4,0.65,2820,0.6441047242093032,0.21375014094035405,7583,2.3222998813134645,16.135815602836878,7.0,0.10285046672233022,0.49291537927832807,0.19929078014184398,11.4
G_BC,4,0.65,2753,0.7353957259170529,0.22818158211562523,9666,2.320608317815022,20.02397384671268,8.0,0.1447050019561932,0.46261921109202603,0.1503814021067926,870.8
